"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2023-01-04,NA,"X8","HRM",73
2023-01-04,"06:24:00","X8","HRX",94
2023-01-04,"13:33:00","X8","HRN",42
2023-01-04,NA,"X8","PM",1022.6
2023-01-04,"10:03:00","X8","PX",1024.3
2023-01-04,"04:18:00","X8","PN",1021.8
2023-01-04,NA,"X8","PPT",0
2023-01-04,NA,"X8","RS24h",8.7
2023-01-04,NA,"X8","VVM10",1
2023-01-04,NA,"X8","DVM10",255
2023-01-04,"00:12:00","X8","VVX10",5.4
2023-01-04,"00:12:00","X8","DVVX10",287
2023-01-05,NA,"D5","TM",11.7
2023-01-05,"15:09:00","D5","TX",16.3
2023-01-05,"23:47:00","D5","TN",8.7
2023-01-05,NA,"D5","HRM",53
2023-01-05,"16:39:00","D5","HRX",67
2023-01-05,"14:14:00","D5","HRN",35
2023-01-05,NA,"D5","PM",979
2023-01-05,"00:01:00","D5","PX",982.7
2023-01-05,"23:49:00","D5","PN",975.8
2023-01-05,NA,"D5","PPT",0
2023-01-05,NA,"D5","RS24h",9.2
2023-01-05,NA,"D5","VVM10",3.5
2023-01-05,NA,"D5","DVM10",263
2023-01-05,"23:33:00","D5","VVX10",8.7
2023-01-05,"23:33:00","D5","DVVX10",304
2023-01-05,NA,"X2","TM",10.2
2023-01-05,"14:13:00","X2","TX",15.6
2023-01-05,"07:36:00","X2","TN",6.1
2023-01-05,NA,"X2","HRM",74
2023-01-05,"08:01:00","X2","HRX",89
2023-01-05,"15:31:00","X2","HRN",51
2023-01-05,NA,"X4","TM",12.5
2023-01-05,"13:51:00","X4","TX",17.3
2023-01-05,"05:49:00","X4","TN",8.8
2023-01-05,NA,"X4","HRM",59
2023-01-05,"06:30:00","X4","HRX",75
2023-01-05,"13:48:00","X4","HRN",32
2023-01-05,NA,"X4","PM",1024.2
2023-01-05,"00:00:00","X4","PX",1028
2023-01-05,"23:53:00","X4","PN",1021.2
2023-01-05,NA,"X4","PPT",0
2023-01-05,NA,"X4","RS24h",9
2023-01-05,NA,"X4","VVM10",1.1
2023-01-05,NA,"X4","DVM10",238
2023-01-05,"14:07:00","X4","VVX10",5.4
2023-01-05,"14:07:00","X4","DVVX10",217
2023-01-05,NA,"X8","TM",11.1
2023-01-05,"13:24:00","X8","TX",17.7
2023-01-05,"07:31:00","X8","TN",7.1
2023-01-05,NA,"X8","HRM",64
2023-01-05,"17:48:00","X8","HRX",81
2023-01-05,"13:35:00","X8","HRN",32
2023-01-05,NA,"X8","PM",1018.4
2023-01-05,"00:00:00","X8","PX",1022.1
2023-01-05,"23:54:00","X8","PN",1015.3
2023-01-05,NA,"X8","PPT",0
2023-01-05,NA,"X8","RS24h",8.9
2023-01-05,NA,"X8","VVM10",1.2
2023-01-05,NA,"X8","DVM10",278
2023-01-05,"12:49:00","X8","VVX10",5.4
2023-01-05,"12:49:00","X8","DVVX10",291
2023-01-06,NA,"D5","TM",10
2023-01-06,"15:24:00","D5","TX",14.9
2023-01-06,"05:23:00","D5","TN",7.2
2023-01-06,NA,"D5","HRM",59
2023-01-06,"20:48:00","D5","HRX",77
2023-01-06,"00:00:00","D5","HRN",47
2023-01-06,NA,"D5","PM",975.5
2023-01-06,"10:35:00","D5","PX",976.9
2023-01-06,"23:59:00","D5","PN",974.7
2023-01-06,NA,"D5","PPT",0
2023-01-06,NA,"D5","RS24h",9.2
2023-01-06,NA,"D5","VVM10",3.9
2023-01-06,NA,"D5","DVM10",284
2023-01-06,"00:35:00","D5","VVX10",10.4
2023-01-06,"00:35:00","D5","DVVX10",310
2023-01-06,NA,"X2","TM",9
2023-01-06,"12:53:00","X2","TX",14.3
2023-01-06,"07:01:00","X2","TN",4.9
2023-01-06,NA,"X2","HRM",75
2023-01-06,"23:53:00","X2","HRX",91
2023-01-06,"10:45:00","X2","HRN",50
2023-01-06,NA,"X4","TM",11.8
